QuarterEnd,CMENT_Close_QuarterEnd
2016-03-31,9.6249
2016-06-30,8.7008
2016-09-30,8.7696
2016-12-31,8.7991
2017-03-31,10.8342
2017-06-30,11.0603
2017-09-30,11.7976
2017-12-31,11.3945
2018-03-31,11.5912
2018-06-30,9.153
2018-09-30,8.1797
2018-12-31,12.4858
2019-03-31,16.5167
2019-06-30,16.2021
2019-09-30,11.5224
2019-12-31,14.747
2020-03-31,10.608
2020-06-30,22.9661
2020-09-30,33.5053
2020-12-31,35.5502
2021-03-31,37.3592
2021-06-30,28.3733
2021-09-30,26.5053
2021-12-31,27.4885
2022-03-31,27.5278
2022-06-30,24.4014
2022-09-30,54.1708
2022-12-31,74.2268
2023-03-31,52.3028
2023-06-30,61.8393
2023-09-30,196.6272
2023-12-31,197.512
2024-03-31,589.8816
2024-06-30,390.5508
2024-09-30,385.1435
2024-12-31,458.25
2025-03-31,415.0
2025-06-30,314.0
2025-09-30,376.0
2025-12-31,344.0
