QuarterEnd,COSMO_Close_QuarterEnd
2016-03-31,1.08
2016-06-30,1.01
2016-09-30,0.97
2016-12-31,0.99
2017-03-31,1.04
2017-06-30,1.0
2017-09-30,1.45
2017-12-31,1.17
2018-03-31,1.15
2018-06-30,1.09
2018-09-30,0.9
2018-12-31,0.97
2019-03-31,0.92
2019-06-30,1.06
2019-09-30,1.2
2019-12-31,2.04
2020-03-31,2.14
2020-06-30,3.01
2020-09-30,11.47
2020-12-31,8.06
2021-03-31,11.32
2021-06-30,9.89
2021-09-30,10.56
2021-12-31,9.3
2022-03-31,7.71
2022-06-30,10.93
2022-09-30,60.0
2022-12-31,119.8
2023-03-31,76.45
2023-06-30,94.0
2023-09-30,148.3
2023-12-31,109.0
2024-03-31,133.0
2024-06-30,118.7
2024-09-30,113.8
2024-12-31,122.0
2025-03-31,106.6
2025-06-30,107.0
2025-09-30,190.0
2025-12-31,287.75
