QuarterEnd,CRDFA_Close_QuarterEnd
2016-03-31,0.6693
2016-06-30,0.6439
2016-09-30,0.631
2016-12-31,0.6868
2017-03-31,0.6868
2017-06-30,0.7512
2017-09-30,0.7184
2017-12-31,0.6929
2018-03-31,0.7234
2018-06-30,0.721
2018-09-30,0.7086
2018-12-31,0.832
2019-03-31,0.872
2019-06-30,0.824
2019-09-30,1.184
2019-12-31,2.304
2020-03-31,1.688
2020-06-30,3.2
2020-09-30,3.896
2020-12-31,4.696
2021-03-31,3.472
2021-06-30,3.312
2021-09-30,3.76
2021-12-31,2.368
2022-03-31,1.696
2022-06-30,1.896
2022-09-30,2.584
2022-12-31,4.88
2023-03-31,3.48
2023-06-30,3.69
2023-09-30,6.98
2023-12-31,5.64
2024-03-31,6.9
2024-06-30,8.28
2024-09-30,5.8
2024-12-31,6.13
2025-03-31,6.9
2025-06-30,9.89
2025-09-30,27.7
2025-12-31,64.75
