QuarterEnd,CRFSA_Close_QuarterEnd
2016-03-31,47.9874
2016-06-30,37.0599
2016-09-30,33.4662
2016-12-31,40.5413
2017-03-31,37.3407
2017-06-30,37.0599
2017-09-30,35.8807
2017-12-31,31.3325
2018-03-31,29.7602
2018-06-30,25.9419
2018-09-30,21.8429
2018-12-31,19.5407
2019-03-31,18.8669
2019-06-30,17.8561
2019-09-30,20.5514
2019-12-31,26.4473
2020-03-31,35.993
2020-06-30,41.6643
2020-09-30,196.7544
2020-12-31,71.8
2021-03-31,52.95
2021-06-30,38.6
2021-09-30,43.94
2021-12-31,38.2
2022-03-31,33.1
2022-06-30,35.0
2022-09-30,36.7
2022-12-31,75.0
2023-03-31,58.1
2023-06-30,58.75
2023-09-30,91.95
2023-12-31,112.5
2024-03-31,167.7
2024-06-30,113.8
2024-09-30,106.5
2024-12-31,104.5
2025-03-31,83.45
2025-06-30,75.9
2025-09-30,84.1
2025-12-31,115.5
