QuarterEnd,CUSAN_Close_QuarterEnd
2016-03-31,1.6196
2016-06-30,2.6539
2016-09-30,2.6015
2016-12-31,2.3745
2017-03-31,2.4444
2017-06-30,2.9531
2017-09-30,2.5037
2017-12-31,2.6872
2018-03-31,2.4304
2018-06-30,2.1485
2018-09-30,1.781
2018-12-31,1.6773
2019-03-31,1.7433
2019-06-30,1.7527
2019-09-30,2.2333
2019-12-31,3.006
2020-03-31,2.2427
2020-06-30,3.4488
2020-09-30,5.5031
2020-12-31,7.284
2021-03-31,6.4171
2021-06-30,6.7409
2021-09-30,7.1335
2021-12-31,8.6559
2022-03-31,9.058
2022-06-30,9.74
2022-09-30,12.51
2022-12-31,21.46
2023-03-31,23.6
2023-06-30,17.69
2023-09-30,21.6
2023-12-31,19.28
2024-03-31,25.5
2024-06-30,23.06
2024-09-30,21.3
2024-12-31,27.86
2025-03-31,21.82
2025-06-30,19.39
2025-09-30,30.4
2025-12-31,21.1
