QuarterEnd,DARDL_Close_QuarterEnd
2016-03-31,0.0848
2016-06-30,0.0972
2016-09-30,0.0868
2016-12-31,0.0842
2017-03-31,0.0933
2017-06-30,0.156
2017-09-30,0.1697
2017-12-31,0.1273
2018-03-31,0.1044
2018-06-30,0.0914
2018-09-30,0.077
2018-12-31,0.0718
2019-03-31,0.0698
2019-06-30,0.0627
2019-09-30,0.094
2019-12-31,0.2474
2020-03-31,0.2741
2020-06-30,0.7649
2020-09-30,1.5912
2020-12-31,2.1864
2021-03-31,2.0624
2021-06-30,0.8844
2021-09-30,1.0717
2021-12-31,1.1948
2022-03-31,1.2195
2022-06-30,1.4658
2022-09-30,1.6506
2022-12-31,2.4184
2023-03-31,1.6506
2023-06-30,1.7081
2023-09-30,2.7059
2023-12-31,2.0694
2024-03-31,2.5457
2024-06-30,2.5047
2024-09-30,2.2542
2024-12-31,2.2419
2025-03-31,2.016
2025-06-30,1.73
2025-09-30,2.63
2025-12-31,2.18
