QuarterEnd,DESA_Close_QuarterEnd
2016-03-31,0.0799
2016-06-30,0.076
2016-09-30,0.075
2016-12-31,0.0878
2017-03-31,0.0997
2017-06-30,0.1056
2017-09-30,0.1007
2017-12-31,0.0997
2018-03-31,0.1017
2018-06-30,0.1145
2018-09-30,0.1036
2018-12-31,0.1707
2019-03-31,0.1777
2019-06-30,0.2546
2019-09-30,0.2408
2019-12-31,0.4481
2020-03-31,0.3425
2020-06-30,0.5083
2020-09-30,0.6504
2020-12-31,0.9613
2021-03-31,1.2179
2021-06-30,1.1962
2021-09-30,0.8369
2021-12-31,0.829
2022-03-31,1.3354
2022-06-30,1.1281
2022-09-30,2.7398
2022-12-31,5.8922
2023-03-31,5.1174
2023-06-30,5.7428
2023-09-30,11.8196
2023-12-31,8.4987
2024-03-31,11.6821
2024-06-30,15.4451
2024-09-30,10.7782
2024-12-31,10.4932
2025-03-31,8.3121
2025-06-30,9.6188
2025-09-30,14.1347
2025-12-31,11.21
