QuarterEnd,DESPC_Close_QuarterEnd
2016-03-31,3.2777
2016-06-30,3.2018
2016-09-30,2.5107
2016-12-31,2.3495
2017-03-31,3.2018
2017-06-30,3.0813
2017-09-30,2.973
2017-12-31,2.9897
2018-03-31,2.9147
2018-06-30,2.3817
2018-09-30,2.4317
2018-12-31,2.7315
2019-03-31,2.8647
2019-06-30,2.73
2019-09-30,3.05
2019-12-31,4.24
2020-03-31,4.69
2020-06-30,8.03
2020-09-30,12.19
2020-12-31,13.06
2021-03-31,11.87
2021-06-30,9.33
2021-09-30,9.11
2021-12-31,9.1
2022-03-31,9.91
2022-06-30,9.97
2022-09-30,12.75
2022-12-31,21.24
2023-03-31,18.05
2023-06-30,21.2
2023-09-30,28.92
2023-12-31,28.5
2024-03-31,59.4
2024-06-30,39.36
2024-09-30,49.52
2024-12-31,46.0
2025-03-31,44.96
2025-06-30,45.5
2025-09-30,67.25
2025-12-31,46.16
