QuarterEnd,DEVA_Close_QuarterEnd
2016-03-31,3.6103
2016-06-30,3.6103
2016-09-30,4.0702
2016-12-31,3.444
2017-03-31,3.7864
2017-06-30,3.8843
2017-09-30,4.0408
2017-12-31,4.2854
2018-03-31,4.5006
2018-06-30,4.0212
2018-09-30,4.0604
2018-12-31,3.2189
2019-03-31,4.2463
2019-06-30,5.4203
2019-09-30,6.8488
2019-12-31,8.7958
2020-03-31,10.2047
2020-06-30,18.9656
2020-09-30,18.5518
2020-12-31,23.7833
2021-03-31,29.9705
2021-06-30,23.6465
2021-09-30,22.0648
2021-12-31,28.4114
2022-03-31,31.6539
2022-06-30,29.5993
2022-09-30,35.1417
2022-12-31,68.7338
2023-03-31,37.605
2023-06-30,48.7136
2023-09-30,87.3874
2023-12-31,75.3237
2024-03-31,71.2359
2024-06-30,80.05
2024-09-30,65.05
2024-12-31,78.4
2025-03-31,59.9
2025-06-30,56.55
2025-09-30,66.45
2025-12-31,62.7
