QuarterEnd,DGATE_Close_QuarterEnd
2016-03-31,5.9459
2016-06-30,4.9286
2016-09-30,4.0323
2016-12-31,3.7161
2017-03-31,4.186
2017-06-30,4.6794
2017-09-30,5.8213
2017-12-31,9.7208
2018-03-31,11.4477
2018-06-30,6.15
2018-09-30,5.51
2018-12-31,4.28
2019-03-31,7.51
2019-06-30,5.78
2019-09-30,6.12
2019-12-31,7.81
2020-03-31,6.62
2020-06-30,9.49
2020-09-30,14.71
2020-12-31,16.11
2021-03-31,16.48
2021-06-30,12.09
2021-09-30,13.18
2021-12-31,11.42
2022-03-31,10.57
2022-06-30,10.2
2022-09-30,11.97
2022-12-31,20.28
2023-03-31,15.59
2023-06-30,18.8
2023-09-30,28.66
2023-12-31,24.02
2024-03-31,44.24
2024-06-30,34.04
2024-09-30,41.06
2024-12-31,46.1
2025-03-31,51.0
2025-06-30,69.4
2025-09-30,75.1
2025-12-31,70.7
