QuarterEnd,DGGYO_Close_QuarterEnd
2016-03-31,2.6347
2016-06-30,2.4763
2016-09-30,2.5555
2016-12-31,3.081
2017-03-31,2.937
2017-06-30,3.11
2017-09-30,2.94
2017-12-31,3.24
2018-03-31,3.12
2018-06-30,3.03
2018-09-30,2.22
2018-12-31,2.11
2019-03-31,2.15
2019-06-30,2.26
2019-09-30,2.75
2019-12-31,4.53
2020-03-31,3.89
2020-06-30,5.93
2020-09-30,9.82
2020-12-31,8.17
2021-03-31,12.65
2021-06-30,7.86
2021-09-30,10.76
2021-12-31,9.9
2022-03-31,10.08
2022-06-30,10.71
2022-09-30,13.45
2022-12-31,19.15
2023-03-31,42.94
2023-06-30,26.26
2023-09-30,32.88
2023-12-31,28.5
2024-03-31,33.44
2024-06-30,31.92
2024-09-30,38.68
2024-12-31,45.84
2025-03-31,35.98
2025-06-30,30.16
2025-09-30,32.56
2025-12-31,31.78
