QuarterEnd,DGNMO_Close_QuarterEnd
2016-03-31,1.0753
2016-06-30,1.0671
2016-09-30,1.0179
2016-12-31,1.3873
2017-03-31,1.5925
2017-06-30,3.538
2017-09-30,3.5133
2017-12-31,2.988
2018-03-31,2.7335
2018-06-30,1.4201
2018-09-30,0.985
2018-12-31,1.0015
2019-03-31,0.8947
2019-06-30,0.8127
2019-09-30,0.8947
2019-12-31,1.3544
2020-03-31,1.0425
2020-06-30,2.3149
2020-09-30,2.0358
2020-12-31,2.2574
2021-03-31,2.7043
2021-06-30,1.9676
2021-09-30,2.1906
2021-12-31,1.9773
2022-03-31,2.0161
2022-06-30,2.462
2022-09-30,3.1114
2022-12-31,8.2001
2023-03-31,6.9594
2023-06-30,6.4554
2023-09-30,13.0368
2023-12-31,9.0821
2024-03-31,10.6718
2024-06-30,11.0304
2024-09-30,8.3939
2024-12-31,9.75
2025-03-31,6.6
2025-06-30,6.45
2025-09-30,6.52
2025-12-31,4.79
