QuarterEnd,DIRIT_Close_QuarterEnd
2016-03-31,0.6679
2016-06-30,0.6327
2016-09-30,0.7294
2016-12-31,1.4939
2017-03-31,2.0476
2017-06-30,1.327
2017-09-30,1.1161
2017-12-31,1.17
2018-03-31,1.03
2018-06-30,0.75
2018-09-30,0.78
2018-12-31,0.78
2019-03-31,0.66
2019-06-30,0.72
2019-09-30,0.91
2019-12-31,0.78
2020-03-31,0.65
2020-06-30,1.26
2020-09-30,2.25
2020-12-31,3.73
2021-03-31,6.34
2021-06-30,4.25
2021-09-30,4.65
2021-12-31,3.2
2022-03-31,3.36
2022-06-30,2.58
2022-09-30,3.71
2022-12-31,5.72
2023-03-31,5.49
2023-06-30,6.48
2023-09-30,8.8
2023-12-31,11.1
2024-03-31,15.5
2024-06-30,23.0
2024-09-30,49.0
2024-12-31,23.5
2025-03-31,21.56
2025-06-30,21.5
2025-09-30,29.0
2025-12-31,27.6
