QuarterEnd,DOAS_Close_QuarterEnd
2016-03-31,5.1721
2016-06-30,4.8745
2016-09-30,4.6216
2016-12-31,4.0376
2017-03-31,3.8904
2017-06-30,4.3319
2017-09-30,3.8628
2017-12-31,3.7892
2018-03-31,3.7524
2018-06-30,3.4982
2018-09-30,2.7142
2018-12-31,2.1814
2019-03-31,2.2467
2019-06-30,2.7443
2019-09-30,3.9204
2019-12-31,5.1063
2020-03-31,3.6957
2020-06-30,8.3943
2020-09-30,8.2978
2020-12-31,15.4155
2021-03-31,15.2439
2021-06-30,14.309
2021-09-30,20.0517
2021-12-31,26.0458
2022-03-31,36.6306
2022-06-30,48.6987
2022-09-30,62.8204
2022-12-31,130.3395
2023-03-31,81.3292
2023-06-30,121.6872
2023-09-30,197.7687
2023-12-31,194.1609
2024-03-31,237.9793
2024-06-30,222.9063
2024-09-30,192.8869
2024-12-31,170.7697
2025-03-31,201.8748
2025-06-30,174.2
2025-09-30,175.9
2025-12-31,188.1
