QuarterEnd,DOCO_Close_QuarterEnd
2016-03-31,314.5803
2016-06-30,234.8879
2016-09-30,228.101
2016-12-31,219.8972
2017-03-31,222.4432
2017-06-30,235.8332
2017-09-30,165.4184
2017-12-31,200.9882
2018-03-31,234.3587
2018-06-30,263.7133
2018-09-30,513.6766
2018-12-31,465.7231
2019-03-31,444.5185
2019-06-30,543.6355
2019-09-30,515.0275
2019-12-31,554.2369
2020-03-31,259.8231
2020-06-30,346.7911
2020-09-30,310.8246
2020-12-31,619.0944
2021-03-31,656.4365
2021-06-30,768.1683
2021-09-30,707.5364
2021-12-31,1056.2928
2022-03-31,1238.0905
2022-06-30,1332.7234
2022-09-30,1217.5522
2022-12-31,1735.5278
2023-03-31,2186.7788
2023-06-30,3663.4663
2023-09-30,3012.9563
2023-12-31,4433.2935
2024-03-31,4861.5234
2024-06-30,5722.9341
2024-09-30,5069.4502
2024-12-31,6485.3315
2025-03-31,7106.6362
2025-06-30,8317.0664
2025-09-30,10820.0
2025-12-31,10335.0
