QuarterEnd,DUNYH_Close_QuarterEnd
2016-03-31,0.5565
2016-06-30,0.4722
2016-09-30,0.4385
2016-12-31,0.5059
2017-03-31,0.4553
2017-06-30,0.5228
2017-09-30,0.4891
2017-12-31,0.4722
2018-03-31,0.624
2018-06-30,0.7083
2018-09-30,0.8769
2018-12-31,0.8321
2019-03-31,0.8008
2019-06-30,1.1011
2019-09-30,1.0135
2019-12-31,1.0761
2020-03-31,0.9635
2020-06-30,1.952
2020-09-30,4.8726
2020-12-31,4.9725
2021-03-31,4.5132
2021-06-30,4.8726
2021-09-30,4.7728
2021-12-31,4.1837
2022-03-31,4.0538
2022-06-30,4.7328
2022-09-30,6.5501
2022-12-31,6.85
2023-03-31,6.21
2023-06-30,6.84
2023-09-30,11.47
2023-12-31,20.9
2024-03-31,55.05
2024-06-30,43.0
2024-09-30,47.2
2024-12-31,49.96
2025-03-31,48.08
2025-06-30,51.85
2025-09-30,74.6
2025-12-31,116.3
