QuarterEnd,DURDO_Close_QuarterEnd
2016-03-31,0.0742
2016-06-30,0.0725
2016-09-30,0.069
2016-12-31,0.0677
2017-03-31,0.0654
2017-06-30,0.0955
2017-09-30,0.0981
2017-12-31,0.1221
2018-03-31,0.1726
2018-06-30,0.1082
2018-09-30,0.103
2018-12-31,0.1651
2019-03-31,0.183
2019-06-30,0.1716
2019-09-30,0.3216
2019-12-31,0.4546
2020-03-31,0.5479
2020-06-30,0.5392
2020-09-30,0.7694
2020-12-31,0.7172
2021-03-31,0.8171
2021-06-30,0.6974
2021-09-30,0.936
2021-12-31,1.3627
2022-03-31,1.0591
2022-06-30,1.4687
2022-09-30,2.0786
2022-12-31,2.9237
2023-03-31,3.3517
2023-06-30,2.3835
2023-09-30,3.9275
2023-12-31,3.3784
2024-03-31,3.1659
2024-06-30,2.7984
2024-09-30,3.298
2024-12-31,4.148
2025-03-31,3.76
2025-06-30,3.03
2025-09-30,3.6
2025-12-31,3.64
