QuarterEnd,DZGYO_Close_QuarterEnd
2016-03-31,0.3344
2016-06-30,0.3232
2016-09-30,0.3299
2016-12-31,0.4219
2017-03-31,0.4152
2017-06-30,0.4825
2017-09-30,0.6396
2017-12-31,0.6059
2018-03-31,0.7159
2018-06-30,0.6306
2018-09-30,0.7698
2018-12-31,0.6822
2019-03-31,0.68
2019-06-30,0.7406
2019-09-30,0.7922
2019-12-31,1.1333
2020-03-31,0.7114
2020-06-30,1.167
2020-09-30,1.8798
2020-12-31,1.8421
2021-03-31,2.4776
2021-06-30,1.83
2021-09-30,1.9
2021-12-31,2.38
2022-03-31,2.55
2022-06-30,2.11
2022-09-30,2.54
2022-12-31,4.07
2023-03-31,2.77
2023-06-30,3.07
2023-09-30,5.6
2023-12-31,3.83
2024-03-31,4.52
2024-06-30,4.71
2024-09-30,8.68
2024-12-31,10.51
2025-03-31,7.89
2025-06-30,5.82
2025-09-30,7.26
2025-12-31,7.49
