QuarterEnd,ECZYT_Close_QuarterEnd
2016-03-31,4.6968
2016-06-30,5.0188
2016-09-30,4.8398
2016-12-31,5.4173
2017-03-31,5.9786
2017-06-30,6.49
2017-09-30,7.3149
2017-12-31,7.4444
2018-03-31,6.8172
2018-06-30,6.4129
2018-09-30,6.0937
2018-12-31,5.3441
2019-03-31,5.589
2019-06-30,5.0583
2019-09-30,6.8195
2019-12-31,8.4388
2020-03-31,8.4555
2020-06-30,13.0537
2020-09-30,18.1701
2020-12-31,24.3027
2021-03-31,44.3739
2021-06-30,33.2233
2021-09-30,33.7288
2021-12-31,46.4945
2022-03-31,44.9236
2022-06-30,53.4191
2022-09-30,75.7121
2022-12-31,164.5102
2023-03-31,125.439
2023-06-30,133.1613
2023-09-30,262.8183
2023-12-31,236.2997
2024-03-31,222.188
2024-06-30,218.489
2024-09-30,199.4269
2024-12-31,190.815
2025-03-31,174.6557
2025-06-30,173.9
2025-09-30,289.0
2025-12-31,287.0
