QuarterEnd,EGGUB_Close_QuarterEnd
2016-03-31,1.6419
2016-06-30,1.7404
2016-09-30,1.5705
2016-12-31,1.6651
2017-03-31,1.7212
2017-06-30,2.1716
2017-09-30,2.1535
2017-12-31,2.1732
2018-03-31,2.5125
2018-06-30,1.9892
2018-09-30,1.9432
2018-12-31,1.8479
2019-03-31,2.0352
2019-06-30,2.2242
2019-09-30,3.1711
2019-12-31,4.4484
2020-03-31,3.6802
2020-06-30,7.6686
2020-09-30,11.6318
2020-12-31,13.189
2021-03-31,19.0295
2021-06-30,15.4178
2021-09-30,15.0961
2021-12-31,20.6858
2022-03-31,19.5274
2022-06-30,18.3935
2022-09-30,24.0588
2022-12-31,39.247
2023-03-31,27.0964
2023-06-30,29.0361
2023-09-30,54.1144
2023-12-31,42.7359
2024-03-31,41.2898
2024-06-30,38.8345
2024-09-30,70.1558
2024-12-31,62.1547
2025-03-31,60.8863
2025-06-30,89.1
2025-09-30,118.5
2025-12-31,92.8
