QuarterEnd,EGSER_Close_QuarterEnd
2016-03-31,0.4144
2016-06-30,0.3564
2016-09-30,0.3555
2016-12-31,0.2745
2017-03-31,0.2914
2017-06-30,0.4138
2017-09-30,0.4038
2017-12-31,0.4174
2018-03-31,0.3575
2018-06-30,0.2884
2018-09-30,0.3552
2018-12-31,0.3199
2019-03-31,0.3151
2019-06-30,0.3187
2019-09-30,0.3327
2019-12-31,0.4008
2020-03-31,0.3457
2020-06-30,0.5633
2020-09-30,0.7279
2020-12-31,1.1212
2021-03-31,1.4633
2021-06-30,1.3924
2021-09-30,1.6001
2021-12-31,1.6268
2022-03-31,2.7408
2022-06-30,3.3049
2022-09-30,3.68
2022-12-31,5.3046
2023-03-31,3.3505
2023-06-30,3.5441
2023-09-30,5.6018
2023-12-31,3.54
2024-03-31,3.73
2024-06-30,3.49
2024-09-30,3.78
2024-12-31,3.62
2025-03-31,3.23
2025-06-30,3.03
2025-09-30,3.47
2025-12-31,2.99
