QuarterEnd,EKGYO_Close_QuarterEnd
2016-03-31,2.2121
2016-06-30,2.2851
2016-09-30,2.429
2016-12-31,2.389
2017-03-31,2.3171
2017-06-30,2.3491
2017-09-30,2.1413
2017-12-31,2.2452
2018-03-31,2.0215
2018-06-30,1.7547
2018-09-30,1.5473
2018-12-31,1.2966
2019-03-31,1.3225
2019-06-30,1.0058
2019-09-30,1.2372
2019-12-31,1.2996
2020-03-31,1.0414
2020-06-30,1.8247
2020-09-30,1.553
2020-12-31,1.921
2021-03-31,1.7146
2021-06-30,1.6988
2021-09-30,1.6261
2021-12-31,1.9441
2022-03-31,2.1349
2022-06-30,2.486
2022-09-30,3.6443
2022-12-31,8.2209
2023-03-31,5.829
2023-06-30,7.205
2023-09-30,7.8671
2023-12-31,6.6987
2024-03-31,9.7073
2024-06-30,9.4541
2024-09-30,11.7033
2024-12-31,13.2611
2025-03-31,12.5893
2025-06-30,18.0
2025-09-30,19.87
2025-12-31,20.44
