QuarterEnd,EMKEL_Close_QuarterEnd
2016-03-31,0.2903
2016-06-30,0.2835
2016-09-30,0.2579
2016-12-31,0.2676
2017-03-31,0.3274
2017-06-30,0.3278
2017-09-30,0.3865
2017-12-31,0.3919
2018-03-31,0.3919
2018-06-30,0.3158
2018-09-30,0.2885
2018-12-31,0.2437
2019-03-31,0.199
2019-06-30,0.199
2019-09-30,0.3283
2019-12-31,0.3954
2020-03-31,0.3382
2020-06-30,0.7187
2020-09-30,0.8828
2020-12-31,1.4722
2021-03-31,1.32
2021-06-30,1.1859
2021-09-30,1.3767
2021-12-31,1.2581
2022-03-31,1.4695
2022-06-30,1.3148
2022-09-30,1.6087
2022-12-31,2.7379
2023-03-31,4.6508
2023-06-30,4.7591
2023-09-30,19.284
2023-12-31,15.18
2024-03-31,16.07
2024-06-30,12.46
2024-09-30,12.06
2024-12-31,15.57
2025-03-31,20.38
2025-06-30,42.66
2025-09-30,101.5
2025-12-31,34.5
