QuarterEnd,EMNIS_Close_QuarterEnd
2016-03-31,4.84
2016-06-30,5.12
2016-09-30,4.52
2016-12-31,4.24
2017-03-31,4.47
2017-06-30,5.23
2017-09-30,4.58
2017-12-31,4.64
2018-03-31,4.2
2018-06-30,3.43
2018-09-30,2.46
2018-12-31,1.17
2019-03-31,0.84
2019-06-30,0.9
2019-09-30,1.09
2019-12-31,1.52
2020-03-31,2.12
2020-06-30,3.97
2020-09-30,39.92
2020-12-31,36.84
2021-03-31,23.78
2021-06-30,21.5
2021-09-30,18.17
2021-12-31,17.96
2022-03-31,21.0
2022-06-30,23.6
2022-09-30,47.28
2022-12-31,51.55
2023-03-31,41.4
2023-06-30,45.34
2023-09-30,77.0
2023-12-31,93.15
2024-03-31,243.0
2024-06-30,380.0
2024-09-30,300.0
2024-12-31,266.0
2025-03-31,330.75
2025-06-30,205.0
2025-09-30,200.0
2025-12-31,158.0
