QuarterEnd,ENJSA_Close_QuarterEnd
2018-03-31,4.1612
2018-06-30,3.7921
2018-09-30,3.2356
2018-12-31,3.1193
2019-03-31,3.156
2019-06-30,3.6504
2019-09-30,4.1207
2019-12-31,4.8959
2020-03-31,4.4917
2020-06-30,6.2507
2020-09-30,6.4832
2020-12-31,9.0925
2021-03-31,8.5038
2021-06-30,8.1617
2021-09-30,8.2169
2021-12-31,10.1567
2022-03-31,12.8142
2022-06-30,11.5577
2022-09-30,14.7446
2022-12-31,30.645
2023-03-31,23.2855
2023-06-30,32.005
2023-09-30,47.3217
2023-12-31,41.6431
2024-03-31,53.4026
2024-06-30,64.6965
2024-09-30,56.4962
2024-12-31,56.1625
2025-03-31,54.5415
2025-06-30,58.5
2025-09-30,79.55
2025-12-31,90.35
