QuarterEnd,ENKAI_Close_QuarterEnd
2016-03-31,2.2349
2016-06-30,2.1459
2016-09-30,2.162
2016-12-31,2.6673
2017-03-31,3.0243
2017-06-30,2.9752
2017-09-30,2.8896
2017-12-31,3.3874
2018-03-31,3.0953
2018-06-30,2.9176
2018-09-30,3.255
2018-12-31,2.8869
2019-03-31,2.8932
2019-06-30,3.5532
2019-09-30,3.5823
2019-12-31,4.2759
2020-03-31,4.1427
2020-06-30,4.7187
2020-09-30,5.3928
2020-12-31,5.6455
2021-03-31,6.0669
2021-06-30,7.48
2021-09-30,8.3299
2021-12-31,12.0739
2022-03-31,13.0586
2022-06-30,15.476
2022-09-30,15.1798
2022-12-31,29.7492
2023-03-31,26.3021
2023-06-30,26.6039
2023-09-30,31.616
2023-12-31,30.8715
2024-03-31,32.0681
2024-06-30,39.1995
2024-09-30,43.1423
2024-12-31,46.2851
2025-03-31,60.6183
2025-06-30,65.6532
2025-09-30,69.5559
2025-12-31,78.85
