QuarterEnd,ERCB_Close_QuarterEnd
2016-03-31,2.2513
2016-06-30,2.2041
2016-09-30,2.1096
2016-12-31,2.33
2017-03-31,2.2355
2017-06-30,4.109
2017-09-30,4.2349
2017-12-31,2.5976
2018-03-31,2.4245
2018-06-30,1.525
2018-09-30,1.4381
2018-12-31,1.332
2019-03-31,1.0714
2019-06-30,1.2065
2019-09-30,1.2451
2019-12-31,1.6119
2020-03-31,1.32
2020-06-30,3.86
2020-09-30,6.37
2020-12-31,6.55
2021-03-31,7.82
2021-06-30,14.5
2021-09-30,13.29
2021-12-31,27.2
2022-03-31,40.06
2022-06-30,32.08
2022-09-30,33.76
2022-12-31,174.0
2023-03-31,98.15
2023-06-30,112.8
2023-09-30,141.1
2023-12-31,120.8
2024-03-31,158.5
2024-06-30,121.6
2024-09-30,94.65
2024-12-31,100.2
2025-03-31,86.3
2025-06-30,72.15
2025-09-30,78.5
2025-12-31,70.4
