QuarterEnd,EREGL_Close_QuarterEnd
2016-03-31,1.0671
2016-06-30,1.0965
2016-09-30,1.1155
2016-12-31,1.3882
2017-03-31,1.5935
2017-06-30,2.044
2017-09-30,2.2412
2017-12-31,2.9051
2018-03-31,3.0385
2018-06-30,3.1727
2018-09-30,3.4309
2018-12-31,2.2458
2019-03-31,2.8368
2019-06-30,2.8966
2019-09-30,2.5212
2019-12-31,3.3272
2020-03-31,2.7641
2020-06-30,3.1579
2020-09-30,3.5734
2020-12-31,5.6396
2021-03-31,6.5512
2021-06-30,7.7275
2021-09-30,7.1479
2021-12-31,12.0892
2022-03-31,15.8737
2022-06-30,13.2803
2022-09-30,14.1806
2022-12-31,20.1895
2023-03-31,17.3221
2023-06-30,17.968
2023-09-30,21.7847
2023-12-31,20.0623
2024-03-31,20.7082
2024-06-30,26.3757
2024-09-30,26.4995
2024-12-31,24.1715
2025-03-31,22.3091
2025-06-30,26.4104
2025-09-30,29.4
2025-12-31,23.82
