QuarterEnd,ETILR_Close_QuarterEnd
2016-03-31,0.1461
2016-06-30,0.1139
2016-09-30,0.2783
2016-12-31,0.5653
2017-03-31,0.9305
2017-06-30,1.0436
2017-09-30,0.5192
2017-12-31,0.4079
2018-03-31,0.38
2018-06-30,0.3035
2018-09-30,0.2539
2018-12-31,0.1852
2019-03-31,0.1722
2019-06-30,0.1078
2019-09-30,0.3174
2019-12-31,0.2131
2020-03-31,0.1652
2020-06-30,0.2479
2020-09-30,0.6569
2020-12-31,0.7263
2021-03-31,1.0748
2021-06-30,1.0858
2021-09-30,0.9416
2021-12-31,1.1405
2022-03-31,1.7226
2022-06-30,1.2664
2022-09-30,1.3102
2022-12-31,2.531
2023-03-31,2.1569
2023-06-30,2.5547
2023-09-30,2.7828
2023-12-31,2.3138
2024-03-31,2.8832
2024-06-30,4.3102
2024-09-30,6.6605
2024-12-31,3.7007
2025-03-31,4.4178
2025-06-30,4.6751
2025-09-30,4.52
2025-12-31,3.74
