QuarterEnd,ETYAT_Close_QuarterEnd
2016-03-31,0.5284
2016-06-30,0.4686
2016-09-30,0.4775
2016-12-31,0.6985
2017-03-31,0.8046
2017-06-30,0.7162
2017-09-30,0.7932
2017-12-31,0.8556
2018-03-31,0.8288
2018-06-30,0.606
2018-09-30,0.6055
2018-12-31,0.5872
2019-03-31,0.5505
2019-06-30,0.5963
2019-09-30,0.8323
2019-12-31,1.1559
2020-03-31,0.9155
2020-06-30,1.7235
2020-09-30,2.5271
2020-12-31,3.4857
2021-03-31,4.4927
2021-06-30,3.3598
2021-09-30,3.4382
2021-12-31,3.6352
2022-03-31,2.9948
2022-06-30,2.8274
2022-09-30,7.5743
2022-12-31,5.2384
2023-03-31,4.145
2023-06-30,5.2086
2023-09-30,10.5
2023-12-31,9.36
2024-03-31,15.45
2024-06-30,13.84
2024-09-30,13.01
2024-12-31,12.34
2025-03-31,10.19
2025-06-30,12.9
2025-09-30,23.9
2025-12-31,22.14
