QuarterEnd,EUHOL_Close_QuarterEnd
2016-03-31,0.2979
2016-06-30,0.208
2016-09-30,0.208
2016-12-31,0.3373
2017-03-31,0.4216
2017-06-30,0.3935
2017-09-30,0.3879
2017-12-31,0.3429
2018-03-31,0.4104
2018-06-30,0.3373
2018-09-30,0.2755
2018-12-31,0.3092
2019-03-31,0.3766
2019-06-30,0.995
2019-09-30,0.7364
2019-12-31,0.8432
2020-03-31,0.5678
2020-06-30,1.0512
2020-09-30,1.6022
2020-12-31,1.5965
2021-03-31,2.1587
2021-06-30,1.7821
2021-09-30,1.0906
2021-12-31,1.1974
2022-03-31,1.7034
2022-06-30,1.2255
2022-09-30,1.3267
2022-12-31,2.13
2023-03-31,1.94
2023-06-30,1.92
2023-09-30,3.33
2023-12-31,2.91
2024-03-31,3.14
2024-06-30,3.0
2024-09-30,9.1
2024-12-31,9.0
2025-03-31,20.0
2025-06-30,12.98
2025-09-30,10.5
2025-12-31,11.1
