QuarterEnd,EUKYO_Close_QuarterEnd
2016-03-31,0.4901
2016-06-30,0.4385
2016-09-30,0.528
2016-12-31,0.8144
2017-03-31,0.8144
2017-06-30,0.7428
2017-09-30,0.9389
2017-12-31,1.0202
2018-03-31,0.9479
2018-06-30,0.7042
2018-09-30,0.7347
2018-12-31,0.6603
2019-03-31,0.6324
2019-06-30,0.6789
2019-09-30,1.2287
2019-12-31,1.5663
2020-03-31,1.1443
2020-06-30,2.0119
2020-09-30,2.2463
2020-12-31,3.7601
2021-03-31,5.0688
2021-06-30,6.5045
2021-09-30,5.8476
2021-12-31,3.4751
2022-03-31,3.8098
2022-06-30,3.2881
2022-09-30,3.7889
2022-12-31,4.9325
2023-03-31,4.0375
2023-06-30,4.7535
2023-09-30,10.1
2023-12-31,15.2
2024-03-31,25.86
2024-06-30,24.4
2024-09-30,13.0
2024-12-31,15.55
2025-03-31,11.6
2025-06-30,10.9
2025-09-30,16.85
2025-12-31,17.18
