QuarterEnd,FENER_Close_QuarterEnd
2016-03-31,1.1917
2016-06-30,1.0149
2016-09-30,1.0391
2016-12-31,1.0976
2017-03-31,0.9884
2017-06-30,1.0149
2017-09-30,1.0048
2017-12-31,0.9654
2018-03-31,0.9519
2018-06-30,0.9091
2018-09-30,0.6192
2018-12-31,0.6017
2019-03-31,0.5434
2019-06-30,0.6469
2019-09-30,1.139
2019-12-31,1.2582
2020-03-31,0.7617
2020-06-30,1.0947
2020-09-30,2.5355
2020-12-31,2.5703
2021-03-31,2.6381
2021-06-30,3.2989
2021-09-30,2.9215
2021-12-31,2.4485
2022-03-31,2.5616
2022-06-30,3.6258
2022-09-30,4.6258
2022-12-31,6.3387
2023-03-31,5.017
2023-06-30,5.4083
2023-09-30,8.8689
2023-12-31,7.9516
2024-03-31,7.456
2024-06-30,16.4423
2024-09-30,9.808
2024-12-31,10.1533
2025-03-31,10.4737
2025-06-30,11.55
2025-09-30,11.34
2025-12-31,9.22
