QuarterEnd,FLAP_Close_QuarterEnd
2016-03-31,0.5196
2016-06-30,0.4559
2016-09-30,0.463
2016-12-31,0.873
2017-03-31,1.1664
2017-06-30,1.1487
2017-09-30,1.3961
2017-12-31,6.1013
2018-03-31,7.8641
2018-06-30,2.6596
2018-09-30,2.0455
2018-12-31,1.1752
2019-03-31,1.2503
2019-06-30,1.237
2019-09-30,1.374
2019-12-31,2.019
2020-03-31,1.2459
2020-06-30,1.8777
2020-09-30,2.1825
2020-12-31,2.8143
2021-03-31,2.399
2021-06-30,2.2339
2021-09-30,2.2721
2021-12-31,2.2339
2022-03-31,2.4726
2022-06-30,3.8745
2022-09-30,6.8219
2022-12-31,12.0238
2023-03-31,9.945
2023-06-30,6.2169
2023-09-30,9.0634
2023-12-31,10.7931
2024-03-31,10.4175
2024-06-30,7.739
2024-09-30,13.2085
2024-12-31,9.812
2025-03-31,7.4683
2025-06-30,9.0573
2025-09-30,10.4
2025-12-31,8.93
