QuarterEnd,FMIZP_Close_QuarterEnd
2016-03-31,9.5012
2016-06-30,8.5767
2016-09-30,8.9276
2016-12-31,9.3393
2017-03-31,10.0047
2017-06-30,9.8143
2017-09-30,9.6019
2017-12-31,9.9168
2018-03-31,14.1209
2018-06-30,12.1417
2018-09-30,13.883
2018-12-31,13.6535
2019-03-31,14.1046
2019-06-30,13.7056
2019-09-30,16.2992
2019-12-31,44.3055
2020-03-31,37.5116
2020-06-30,47.6612
2020-09-30,117.8668
2020-12-31,116.2765
2021-03-31,138.7546
2021-06-30,94.1786
2021-09-30,98.0671
2021-12-31,108.3101
2022-03-31,107.6264
2022-06-30,124.7914
2022-09-30,127.4549
2022-12-31,195.3256
2023-03-31,123.7138
2023-06-30,143.3683
2023-09-30,188.5638
2023-12-31,274.1159
2024-03-31,334.2269
2024-06-30,322.7534
2024-09-30,312.7765
2024-12-31,325.2476
2025-03-31,305.5
2025-06-30,282.0
2025-09-30,313.75
2025-12-31,318.0
