QuarterEnd,FORMT_Close_QuarterEnd
2018-06-30,0.314
2018-09-30,0.376
2018-12-31,0.1941
2019-03-31,1.0316
2019-06-30,0.7336
2019-09-30,1.0576
2019-12-31,0.5783
2020-03-31,0.3875
2020-06-30,0.6169
2020-09-30,0.7769
2020-12-31,0.9156
2021-03-31,0.5841
2021-06-30,0.4292
2021-09-30,0.4852
2021-12-31,0.4068
2022-03-31,0.474
2022-06-30,0.6942
2022-09-30,0.5972
2022-12-31,0.8137
2023-03-31,0.8211
2023-06-30,1.1757
2023-09-30,2.3442
2023-12-31,1.3844
2024-03-31,1.5182
2024-06-30,1.9254
2024-09-30,2.7107
2024-12-31,4.5896
2025-03-31,3.2692
2025-06-30,3.7
2025-09-30,3.84
2025-12-31,3.19
