QuarterEnd,FRIGO_Close_QuarterEnd
2016-03-31,0.0527
2016-06-30,0.0574
2016-09-30,0.046
2016-12-31,0.044
2017-03-31,0.0427
2017-06-30,0.0527
2017-09-30,0.0641
2017-12-31,0.0634
2018-03-31,0.0801
2018-06-30,0.0961
2018-09-30,0.0714
2018-12-31,0.1134
2019-03-31,0.1241
2019-06-30,0.2603
2019-09-30,0.5339
2019-12-31,0.8648
2020-03-31,0.6046
2020-06-30,1.2079
2020-09-30,2.832
2020-12-31,2.5901
2021-03-31,4.7184
2021-06-30,2.2
2021-09-30,2.716
2021-12-31,3.7
2022-03-31,3.14
2022-06-30,3.42
2022-09-30,5.26
2022-12-31,8.71
2023-03-31,6.11
2023-06-30,5.78
2023-09-30,8.62
2023-12-31,6.16
2024-03-31,7.32
2024-06-30,8.11
2024-09-30,7.6
2024-12-31,7.7
2025-03-31,7.53
2025-06-30,7.38
2025-09-30,9.81
2025-12-31,14.18
