QuarterEnd,FROTO_Close_QuarterEnd
2016-03-31,2.0334
2016-06-30,1.722
2016-09-30,1.7816
2016-12-31,1.7748
2017-03-31,2.0662
2017-06-30,2.5759
2017-09-30,2.7342
2017-12-31,3.6918
2018-03-31,3.8174
2018-06-30,3.8988
2018-09-30,4.185
2018-12-31,3.2494
2019-03-31,3.1701
2019-06-30,4.2747
2019-09-30,4.0627
2019-12-31,4.9347
2020-03-31,3.6782
2020-06-30,5.2919
2020-09-30,6.5309
2020-12-31,9.4045
2021-03-31,14.8839
2021-06-30,13.1052
2021-09-30,12.8665
2021-12-31,18.6451
2022-03-31,24.3942
2022-06-30,21.8053
2022-09-30,26.7053
2022-12-31,43.3933
2023-03-31,49.5382
2023-06-30,64.453
2023-09-30,71.5674
2023-12-31,64.9073
2024-03-31,99.3577
2024-06-30,102.2889
2024-09-30,83.542
2024-12-31,86.4829
2025-03-31,97.7432
2025-06-30,83.7514
2025-09-30,92.9476
2025-12-31,92.65
