QuarterEnd,GARFA_Close_QuarterEnd
2016-03-31,0.412
2016-06-30,0.37
2016-09-30,0.394
2016-12-31,0.418
2017-03-31,0.432
2017-06-30,0.594
2017-09-30,0.796
2017-12-31,0.652
2018-03-31,0.554
2018-06-30,0.468
2018-09-30,0.444
2018-12-31,0.396
2019-03-31,0.588
2019-06-30,0.552
2019-09-30,0.732
2019-12-31,0.774
2020-03-31,0.716
2020-06-30,1.076
2020-09-30,2.278
2020-12-31,2.226
2021-03-31,2.738
2021-06-30,1.976
2021-09-30,2.34
2021-12-31,2.74
2022-03-31,2.43
2022-06-30,2.67
2022-09-30,2.92
2022-12-31,5.364
2023-03-31,4.128
2023-06-30,8.42
2023-09-30,16.2
2023-12-31,15.37
2024-03-31,34.52
2024-06-30,24.3
2024-09-30,21.5
2024-12-31,20.4
2025-03-31,16.62
2025-06-30,23.76
2025-09-30,28.06
2025-12-31,27.78
