QuarterEnd,GEDIK_Close_QuarterEnd
2016-03-31,0.0571
2016-06-30,0.0609
2016-09-30,0.0617
2016-12-31,0.0612
2017-03-31,0.0634
2017-06-30,0.0647
2017-09-30,0.0675
2017-12-31,0.0694
2018-03-31,0.073
2018-06-30,0.0752
2018-09-30,0.0788
2018-12-31,0.0887
2019-03-31,0.1003
2019-06-30,0.1034
2019-09-30,0.1235
2019-12-31,0.1627
2020-03-31,0.5546
2020-06-30,0.4827
2020-09-30,0.4677
2020-12-31,0.6518
2021-03-31,1.1071
2021-06-30,0.8723
2021-09-30,0.7854
2021-12-31,0.88
2022-03-31,0.9032
2022-06-30,0.9351
2022-09-30,1.1979
2022-12-31,1.5943
2023-03-31,1.5489
2023-06-30,2.1166
2023-09-30,3.8734
2023-12-31,3.3048
2024-03-31,3.2686
2024-06-30,3.7709
2024-09-30,3.4645
2024-12-31,4.0507
2025-03-31,3.8922
2025-06-30,8.535
2025-09-30,6.71
2025-12-31,5.7
