QuarterEnd,GENTS_Close_QuarterEnd
2016-03-31,0.1337
2016-06-30,0.147
2016-09-30,0.1549
2016-12-31,0.1903
2017-03-31,0.1708
2017-06-30,0.1732
2017-09-30,0.1869
2017-12-31,0.2291
2018-03-31,0.2332
2018-06-30,0.3211
2018-09-30,0.417
2018-12-31,0.2704
2019-03-31,0.2857
2019-06-30,0.255
2019-09-30,0.2856
2019-12-31,0.4314
2020-03-31,0.392
2020-06-30,0.5669
2020-09-30,0.636
2020-12-31,1.2427
2021-03-31,1.1234
2021-06-30,0.8417
2021-09-30,0.8177
2021-12-31,1.0242
2022-03-31,0.9692
2022-06-30,1.4631
2022-09-30,1.415
2022-12-31,2.0319
2023-03-31,1.7404
2023-06-30,1.7959
2023-09-30,3.2202
2023-12-31,2.9841
2024-03-31,3.5917
2024-06-30,3.4745
2024-09-30,3.0599
2024-12-31,4.0746
2025-03-31,7.6201
2025-06-30,10.081
2025-09-30,8.83
2025-12-31,9.52
