QuarterEnd,GEREL_Close_QuarterEnd
2016-03-31,0.5577
2016-06-30,0.4148
2016-09-30,0.401
2016-12-31,0.3687
2017-03-31,0.3779
2017-06-30,0.4355
2017-09-30,0.447
2017-12-31,1.0854
2018-03-31,1.4149
2018-06-30,1.2167
2018-09-30,0.9517
2018-12-31,0.8134
2019-03-31,0.66
2019-06-30,0.6367
2019-09-30,0.7667
2019-12-31,1.0633
2020-03-31,0.7567
2020-06-30,2.1067
2020-09-30,2.3233
2020-12-31,2.0467
2021-03-31,2.1033
2021-06-30,1.97
2021-09-30,1.7733
2021-12-31,1.51
2022-03-31,1.4667
2022-06-30,1.4
2022-09-30,1.8233
2022-12-31,3.0033
2023-03-31,5.5433
2023-06-30,7.8667
2023-09-30,8.6467
2023-12-31,7.2667
2024-03-31,13.1467
2024-06-30,13.28
2024-09-30,12.04
2024-12-31,10.09
2025-03-31,8.36
2025-06-30,14.04
2025-09-30,20.4
2025-12-31,18.93
