QuarterEnd,GLBMD_Close_QuarterEnd
2016-03-31,0.1864
2016-06-30,0.1559
2016-09-30,0.1424
2016-12-31,0.122
2017-03-31,0.1424
2017-06-30,0.1492
2017-09-30,0.1593
2017-12-31,0.1525
2018-03-31,0.2102
2018-06-30,0.1864
2018-09-30,0.1559
2018-12-31,0.1593
2019-03-31,0.1763
2019-06-30,0.1661
2019-09-30,0.2915
2019-12-31,0.6373
2020-03-31,0.6237
2020-06-30,1.522
2020-09-30,1.5864
2020-12-31,2.0373
2021-03-31,2.5763
2021-06-30,2.0949
2021-09-30,2.0508
2021-12-31,1.9661
2022-03-31,1.9119
2022-06-30,2.1559
2022-09-30,3.8949
2022-12-31,4.6136
2023-03-31,3.6881
2023-06-30,4.6475
2023-09-30,12.9153
2023-12-31,12.8746
2024-03-31,13.0102
2024-06-30,12.7797
2024-09-30,10.2
2024-12-31,12.0
2025-03-31,9.9
2025-06-30,10.97
2025-09-30,13.13
2025-12-31,13.7
