QuarterEnd,GLRYH_Close_QuarterEnd
2016-03-31,0.0817
2016-06-30,0.0722
2016-09-30,0.0655
2016-12-31,0.0663
2017-03-31,0.0736
2017-06-30,0.1171
2017-09-30,0.0751
2017-12-31,0.0862
2018-03-31,0.136
2018-06-30,0.0944
2018-09-30,0.0766
2018-12-31,0.0795
2019-03-31,0.0803
2019-06-30,0.0892
2019-09-30,0.0966
2019-12-31,0.1509
2020-03-31,0.1761
2020-06-30,1.0472
2020-09-30,1.0851
2020-12-31,0.8079
2021-03-31,0.9119
2021-06-30,0.5483
2021-09-30,0.5879
2021-12-31,0.6323
2022-03-31,0.5903
2022-06-30,0.7956
2022-09-30,0.7349
2022-12-31,3.1496
2023-03-31,1.8384
2023-06-30,1.9038
2023-09-30,2.4194
2023-12-31,2.536
2024-03-31,2.676
2024-06-30,3.103
2024-09-30,2.6574
2024-12-31,3.0843
2025-03-31,2.86
2025-06-30,3.77
2025-09-30,4.28
2025-12-31,3.74
