QuarterEnd,GLYHO_Close_QuarterEnd
2016-03-31,0.3978
2016-06-30,0.3645
2016-09-30,0.4011
2016-12-31,0.3961
2017-03-31,0.7234
2017-06-30,0.7086
2017-09-30,0.9252
2017-12-31,0.8883
2018-03-31,0.9621
2018-06-30,0.871
2018-09-30,0.7751
2018-12-31,0.7357
2019-03-31,0.7825
2019-06-30,0.7234
2019-09-30,0.9596
2019-12-31,1.1983
2020-03-31,0.6274
2020-06-30,0.9891
2020-09-30,1.154
2020-12-31,1.1515
2021-03-31,1.56
2021-06-30,0.7603
2021-09-30,0.6719
2021-12-31,0.649
2022-03-31,0.8391
2022-06-30,1.18
2022-09-30,1.3635
2022-12-31,3.6809
2023-03-31,2.5894
2023-06-30,2.9729
2023-09-30,4.9068
2023-12-31,3.4015
2024-03-31,4.1731
2024-06-30,4.7707
2024-09-30,5.8936
2024-12-31,5.8221
2025-03-31,7.3239
2025-06-30,8.0683
2025-09-30,8.26
2025-12-31,11.95
