QuarterEnd,GOLTS_Close_QuarterEnd
2016-03-31,29.415
2016-06-30,25.3081
2016-09-30,26.403
2016-12-31,26.9595
2017-03-31,29.8672
2017-06-30,27.8928
2017-09-30,26.7444
2017-12-31,23.6002
2018-03-31,22.8593
2018-06-30,17.2249
2018-09-30,14.854
2018-12-31,11.4098
2019-03-31,9.3537
2019-06-30,9.7667
2019-09-30,12.3278
2019-12-31,16.5768
2020-03-31,10.3896
2020-06-30,16.7073
2020-09-30,22.8665
2020-12-31,38.4463
2021-03-31,53.439
2021-06-30,35.5949
2021-09-30,34.7703
2021-12-31,37.3931
2022-03-31,37.5617
2022-06-30,48.6616
2022-09-30,68.9412
2022-12-31,118.2637
2023-03-31,125.3032
2023-06-30,139.1945
2023-09-30,265.5404
2023-12-31,236.3549
2024-03-31,425.8216
2024-06-30,501.417
2024-09-30,412.1858
2024-12-31,413.4732
2025-03-31,410.7659
2025-06-30,321.9184
2025-09-30,321.4262
2025-12-31,313.5
