QuarterEnd,GOODY_Close_QuarterEnd
2016-03-31,5.1132
2016-06-30,2.9631
2016-09-30,3.1594
2016-12-31,3.1326
2017-03-31,3.2665
2017-06-30,4.039
2017-09-30,3.985
2017-12-31,3.8231
2018-03-31,3.5173
2018-06-30,3.0893
2018-09-30,3.6042
2018-12-31,3.1628
2019-03-31,2.9882
2019-06-30,2.5068
2019-09-30,2.7355
2019-12-31,3.8602
2020-03-31,3.2693
2020-06-30,5.147
2020-09-30,5.147
2020-12-31,7.9683
2021-03-31,7.4059
2021-06-30,6.72
2021-09-30,7.79
2021-12-31,9.26
2022-03-31,9.95
2022-06-30,9.8
2022-09-30,11.5
2022-12-31,23.26
2023-03-31,13.76
2023-06-30,22.4
2023-09-30,26.8
2023-12-31,18.72
2024-03-31,19.47
2024-06-30,20.54
2024-09-30,15.37
2024-12-31,19.1
2025-03-31,15.43
2025-06-30,16.14
2025-09-30,17.77
2025-12-31,14.7
