QuarterEnd,GOZDE_Close_QuarterEnd
2016-03-31,2.27
2016-06-30,2.56
2016-09-30,2.27
2016-12-31,1.79
2017-03-31,2.26
2017-06-30,2.78
2017-09-30,3.56
2017-12-31,5.66
2018-03-31,4.77
2018-06-30,2.91
2018-09-30,2.54
2018-12-31,2.67
2019-03-31,3.45
2019-06-30,2.67
2019-09-30,3.38
2019-12-31,5.14
2020-03-31,2.87
2020-06-30,5.12
2020-09-30,5.59
2020-12-31,7.98
2021-03-31,7.38
2021-06-30,5.42
2021-09-30,5.75
2021-12-31,9.05
2022-03-31,9.13
2022-06-30,7.96
2022-09-30,9.73
2022-12-31,21.08
2023-03-31,14.87
2023-06-30,13.97
2023-09-30,34.0
2023-12-31,20.82
2024-03-31,23.18
2024-06-30,27.64
2024-09-30,30.28
2024-12-31,26.16
2025-03-31,19.75
2025-06-30,16.98
2025-09-30,21.34
2025-12-31,21.72
