QuarterEnd,GSDDE_Close_QuarterEnd
2016-03-31,0.517
2016-06-30,0.4252
2016-09-30,0.4687
2016-12-31,0.5315
2017-03-31,0.5895
2017-06-30,0.6813
2017-09-30,0.7296
2017-12-31,0.6523
2018-03-31,0.7441
2018-06-30,0.546
2018-09-30,0.5267
2018-12-31,0.5556
2019-03-31,0.6571
2019-06-30,0.7103
2019-09-30,0.7779
2019-12-31,1.2369
2020-03-31,0.976
2020-06-30,2.0293
2020-09-30,2.2274
2020-12-31,2.4352
2021-03-31,3.1406
2021-06-30,2.9473
2021-09-30,3.35
2021-12-31,3.6
2022-03-31,3.8
2022-06-30,3.72
2022-09-30,4.35
2022-12-31,9.43
2023-03-31,6.98
2023-06-30,7.75
2023-09-30,8.85
2023-12-31,7.59
2024-03-31,9.45
2024-06-30,8.88
2024-09-30,7.7
2024-12-31,9.02
2025-03-31,7.72
2025-06-30,8.9
2025-09-30,9.99
2025-12-31,10.27
