QuarterEnd,GSRAY_Close_QuarterEnd
2016-03-31,0.179
2016-06-30,0.2658
2016-09-30,0.3316
2016-12-31,0.333
2017-03-31,0.2512
2017-06-30,0.2945
2017-09-30,0.3453
2017-12-31,0.2808
2018-03-31,0.3186
2018-06-30,0.2383
2018-09-30,0.2128
2018-12-31,0.166
2019-03-31,0.162
2019-06-30,0.1968
2019-09-30,0.2209
2019-12-31,0.2717
2020-03-31,0.2971
2020-06-30,0.3895
2020-09-30,0.5689
2020-12-31,0.5421
2021-03-31,0.4939
2021-06-30,0.4805
2021-09-30,0.4337
2021-12-31,0.435
2022-03-31,0.4176
2022-06-30,0.4993
2022-09-30,0.7549
2022-12-31,1.0588
2023-03-31,1.1591
2023-06-30,1.1217
2023-09-30,1.8687
2023-12-31,1.5511
2024-03-31,1.6569
2024-06-30,2.1739
2024-09-30,1.7283
2024-12-31,1.5134
2025-03-31,1.4908
2025-06-30,1.2348
2025-09-30,1.41
2025-12-31,1.16
