QuarterEnd,HALKB_Close_QuarterEnd
2016-03-31,9.8732
2016-06-30,8.2019
2016-09-30,8.7589
2016-12-31,8.9702
2017-03-31,9.9594
2017-06-30,12.8282
2017-09-30,11.8234
2017-12-31,10.5162
2018-03-31,8.731
2018-06-30,7.2189
2018-09-30,6.69
2018-12-31,7.02
2019-03-31,6.38
2019-06-30,5.74
2019-09-30,6.56
2019-12-31,5.91
2020-03-31,5.02
2020-06-30,6.41
2020-09-30,5.13
2020-12-31,5.56
2021-03-31,4.32
2021-06-30,5.05
2021-09-30,4.3
2021-12-31,4.51
2022-03-31,4.73
2022-06-30,4.9
2022-09-30,6.98
2022-12-31,13.29
2023-03-31,11.05
2023-06-30,12.48
2023-09-30,15.66
2023-12-31,11.98
2024-03-31,13.56
2024-06-30,18.25
2024-09-30,16.86
2024-12-31,16.2
2025-03-31,21.28
2025-06-30,24.32
2025-09-30,26.34
2025-12-31,36.78
