QuarterEnd,HATEK_Close_QuarterEnd
2016-03-31,1.1877
2016-06-30,0.9619
2016-09-30,1.0065
2016-12-31,1.0037
2017-03-31,1.1292
2017-06-30,1.2741
2017-09-30,1.3355
2017-12-31,1.3857
2018-03-31,1.3689
2018-06-30,1.118
2018-09-30,1.0901
2018-12-31,1.1013
2019-03-31,1.0622
2019-06-30,1.224
2019-09-30,1.3126
2019-12-31,2.194
2020-03-31,2.2643
2020-06-30,3.0171
2020-09-30,4.1151
2020-12-31,4.5452
2021-03-31,6.7053
2021-06-30,5.5533
2021-09-30,5.24
2021-12-31,5.4333
2022-03-31,6.1567
2022-06-30,6.66
2022-09-30,7.57
2022-12-31,12.1
2023-03-31,7.69
2023-06-30,7.98
2023-09-30,11.81
2023-12-31,10.51
2024-03-31,13.57
2024-06-30,12.83
2024-09-30,12.04
2024-12-31,12.1
2025-03-31,28.98
2025-06-30,25.08
2025-09-30,16.2
2025-12-31,14.48
