QuarterEnd,HEKTS_Close_QuarterEnd
2016-03-31,0.0305
2016-06-30,0.0389
2016-09-30,0.0398
2016-12-31,0.0387
2017-03-31,0.0471
2017-06-30,0.0575
2017-09-30,0.0969
2017-12-31,0.0895
2018-03-31,0.1373
2018-06-30,0.1336
2018-09-30,0.1206
2018-12-31,0.1185
2019-03-31,0.1349
2019-06-30,0.1684
2019-09-30,0.2016
2019-12-31,0.281
2020-03-31,0.3514
2020-06-30,0.4992
2020-09-30,0.4372
2020-12-31,0.6681
2021-03-31,1.0636
2021-06-30,0.9467
2021-09-30,1.0467
2021-12-31,1.8596
2022-03-31,2.2198
2022-06-30,3.7017
2022-09-30,7.2722
2022-12-31,13.5237
2023-03-31,9.7347
2023-06-30,10.8779
2023-09-30,9.67
2023-12-31,7.2256
2024-03-31,6.0573
2024-06-30,4.5942
2024-09-30,4.47
2024-12-31,3.87
2025-03-31,3.3
2025-06-30,3.26
2025-09-30,3.71
2025-12-31,3.06
