QuarterEnd,HLGYO_Close_QuarterEnd
2016-03-31,0.3033
2016-06-30,0.2753
2016-09-30,0.266
2016-12-31,0.2815
2017-03-31,0.297
2017-06-30,0.326
2017-09-30,0.319
2017-12-31,0.3094
2018-03-31,0.29
2018-06-30,0.2576
2018-09-30,0.2169
2018-12-31,0.2372
2019-03-31,0.2508
2019-06-30,0.2803
2019-09-30,0.3614
2019-12-31,0.4499
2020-03-31,0.4499
2020-06-30,0.8427
2020-09-30,0.9233
2020-12-31,1.2401
2021-03-31,1.2324
2021-06-30,1.009
2021-09-30,0.9968
2021-12-31,0.948
2022-03-31,0.9603
2022-06-30,1.0576
2022-09-30,1.4523
2022-12-31,3.3145
2023-03-31,1.9583
2023-06-30,2.2316
2023-09-30,2.9721
2023-12-31,1.9531
2024-03-31,2.3989
2024-06-30,2.4395
2024-09-30,2.4111
2024-12-31,2.5355
2025-03-31,2.6312
2025-06-30,3.0379
2025-09-30,3.66
2025-12-31,3.75
