QuarterEnd,HUBVC_Close_QuarterEnd
2016-03-31,0.0976
2016-06-30,0.0935
2016-09-30,0.0951
2016-12-31,0.0935
2017-03-31,0.0943
2017-06-30,0.0951
2017-09-30,0.0968
2017-12-31,0.0959
2018-03-31,0.1016
2018-06-30,0.1056
2018-09-30,0.1121
2018-12-31,0.1516
2019-03-31,0.179
2019-06-30,0.2193
2019-09-30,0.3338
2019-12-31,1.1191
2020-03-31,2.434
2020-06-30,2.4722
2020-09-30,2.1408
2020-12-31,2.1694
2021-03-31,1.9954
2021-06-30,1.3827
2021-09-30,1.1991
2021-12-31,1.0847
2022-03-31,1.1252
2022-06-30,0.9226
2022-09-30,1.2373
2022-12-31,1.7575
2023-03-31,1.0925
2023-06-30,1.2325
2023-09-30,2.245
2023-12-31,1.9
2024-03-31,2.965
2024-06-30,2.6525
2024-09-30,2.1725
2024-12-31,2.385
2025-03-31,1.75
2025-06-30,1.61
2025-09-30,2.8
2025-12-31,2.49
