QuarterEnd,HURGZ_Close_QuarterEnd
2016-03-31,0.58
2016-06-30,0.54
2016-09-30,0.87
2016-12-31,0.74
2017-03-31,0.68
2017-06-30,0.79
2017-09-30,1.25
2017-12-31,1.34
2018-03-31,1.32
2018-06-30,1.31
2018-09-30,0.99
2018-12-31,0.93
2019-03-31,0.82
2019-06-30,0.73
2019-09-30,0.8
2019-12-31,1.14
2020-03-31,0.9
2020-06-30,1.39
2020-09-30,2.22
2020-12-31,2.1
2021-03-31,1.83
2021-06-30,1.3
2021-09-30,2.4
2021-12-31,1.78
2022-03-31,1.99
2022-06-30,1.82
2022-09-30,2.41
2022-12-31,6.09
2023-03-31,4.69
2023-06-30,3.79
2023-09-30,5.47
2023-12-31,3.81
2024-03-31,4.81
2024-06-30,3.99
2024-09-30,4.16
2024-12-31,4.84
2025-03-31,4.35
2025-06-30,6.54
2025-09-30,7.68
2025-12-31,5.39
