QuarterEnd,IDGYO_Close_QuarterEnd
2016-03-31,0.1118
2016-06-30,0.1909
2016-09-30,0.2034
2016-12-31,0.2484
2017-03-31,0.2825
2017-06-30,0.4052
2017-09-30,0.3524
2017-12-31,0.3167
2018-03-31,0.3353
2018-06-30,0.3198
2018-09-30,0.2608
2018-12-31,0.253
2019-03-31,0.2375
2019-06-30,0.2918
2019-09-30,0.4548
2019-12-31,0.475
2020-03-31,0.3989
2020-06-30,0.669
2020-09-30,1.0137
2020-12-31,1.0556
2021-03-31,1.3909
2021-06-30,0.9128
2021-09-30,0.9919
2021-12-31,0.8407
2022-03-31,0.8674
2022-06-30,0.8407
2022-09-30,1.0765
2022-12-31,1.6147
2023-03-31,1.4368
2023-06-30,1.9394
2023-09-30,2.6333
2023-12-31,2.3486
2024-03-31,2.7356
2024-06-30,2.7
2024-09-30,2.74
2024-12-31,2.65
2025-03-31,2.45
2025-06-30,2.49
2025-09-30,3.67
2025-12-31,3.64
