QuarterEnd,IHGZT_Close_QuarterEnd
2016-03-31,0.1659
2016-06-30,0.1739
2016-09-30,0.1739
2016-12-31,0.2103
2017-03-31,0.3034
2017-06-30,0.2832
2017-09-30,0.4692
2017-12-31,0.4773
2018-03-31,0.5178
2018-06-30,0.4005
2018-09-30,0.3196
2018-12-31,0.2468
2019-03-31,0.3034
2019-06-30,0.6877
2019-09-30,1.0113
2019-12-31,2.7548
2020-03-31,2.0226
2020-06-30,1.7232
2020-09-30,4.1928
2020-12-31,2.4635
2021-03-31,1.8203
2021-06-30,1.15
2021-09-30,0.91
2021-12-31,0.74
2022-03-31,0.68
2022-06-30,0.63
2022-09-30,0.68
2022-12-31,1.43
2023-03-31,0.99
2023-06-30,1.02
2023-09-30,1.43
2023-12-31,1.25
2024-03-31,1.11
2024-06-30,1.47
2024-09-30,1.22
2024-12-31,1.56
2025-03-31,1.36
2025-06-30,1.37
2025-09-30,1.85
2025-12-31,1.56
