QuarterEnd,IHLAS_Close_QuarterEnd
2016-03-31,0.2082
2016-06-30,0.2897
2016-09-30,0.2988
2016-12-31,0.2716
2017-03-31,0.3712
2017-06-30,0.3531
2017-09-30,0.5342
2017-12-31,0.4799
2018-03-31,0.4617
2018-06-30,0.3803
2018-09-30,0.3169
2018-12-31,0.2897
2019-03-31,0.344
2019-06-30,0.3803
2019-09-30,0.4708
2019-12-31,0.8239
2020-03-31,0.4617
2020-06-30,0.7696
2020-09-30,0.9869
2020-12-31,1.1227
2021-03-31,0.74
2021-06-30,0.56
2021-09-30,0.56
2021-12-31,0.55
2022-03-31,0.53
2022-06-30,0.51
2022-09-30,0.56
2022-12-31,1.07
2023-03-31,0.79
2023-06-30,0.87
2023-09-30,1.21
2023-12-31,1.0
2024-03-31,1.03
2024-06-30,1.3
2024-09-30,1.09
2024-12-31,3.46
2025-03-31,2.4
2025-06-30,2.21
2025-09-30,3.59
2025-12-31,2.26
