QuarterEnd,IHYAY_Close_QuarterEnd
2016-03-31,0.188
2016-06-30,0.2043
2016-09-30,0.2043
2016-12-31,0.188
2017-03-31,0.3678
2017-06-30,0.3269
2017-09-30,0.474
2017-12-31,0.4168
2018-03-31,0.4168
2018-06-30,0.3433
2018-09-30,0.2779
2018-12-31,0.2697
2019-03-31,0.4005
2019-06-30,0.4577
2019-09-30,0.6457
2019-12-31,0.8336
2020-03-31,0.5885
2020-06-30,0.9726
2020-09-30,1.27
2020-12-31,1.14
2021-03-31,0.87
2021-06-30,0.66
2021-09-30,0.78
2021-12-31,0.66
2022-03-31,0.69
2022-06-30,0.63
2022-09-30,0.65
2022-12-31,1.11
2023-03-31,0.83
2023-06-30,0.93
2023-09-30,1.94
2023-12-31,2.77
2024-03-31,2.48
2024-06-30,5.38
2024-09-30,4.12
2024-12-31,3.7
2025-03-31,2.13
2025-06-30,2.04
2025-09-30,2.63
2025-12-31,1.96
