QuarterEnd,INDES_Close_QuarterEnd
2016-03-31,0.3668
2016-06-30,0.3809
2016-09-30,0.3414
2016-12-31,0.3943
2017-03-31,0.4528
2017-06-30,0.5653
2017-09-30,0.5648
2017-12-31,0.5763
2018-03-31,0.7221
2018-06-30,0.4765
2018-09-30,0.3666
2018-12-31,0.3367
2019-03-31,0.397
2019-06-30,0.4172
2019-09-30,0.4746
2019-12-31,0.5864
2020-03-31,0.4746
2020-06-30,0.6902
2020-09-30,1.0754
2020-12-31,1.196
2021-03-31,1.8506
2021-06-30,1.5369
2021-09-30,1.627
2021-12-31,1.7094
2022-03-31,2.2371
2022-06-30,2.1081
2022-09-30,2.5756
2022-12-31,5.72
2023-03-31,5.1458
2023-06-30,5.2331
2023-09-30,7.0674
2023-12-31,5.7284
2024-03-31,8.7752
2024-06-30,7.9678
2024-09-30,6.98
2024-12-31,7.65
2025-03-31,7.11
2025-06-30,6.43
2025-09-30,8.25
2025-12-31,7.86
