QuarterEnd,INFO_Close_QuarterEnd
2016-03-31,0.0145
2016-06-30,0.0144
2016-09-30,0.0146
2016-12-31,0.0213
2017-03-31,0.0217
2017-06-30,0.0269
2017-09-30,0.0243
2017-12-31,0.0237
2018-03-31,0.0265
2018-06-30,0.0193
2018-09-30,0.0211
2018-12-31,0.0207
2019-03-31,0.0343
2019-06-30,0.0452
2019-09-30,0.0923
2019-12-31,0.1786
2020-03-31,0.1704
2020-06-30,0.1605
2020-09-30,0.342
2020-12-31,0.6017
2021-03-31,0.7575
2021-06-30,0.5204
2021-09-30,0.5076
2021-12-31,0.7176
2022-03-31,1.1014
2022-06-30,1.3836
2022-09-30,2.7649
2022-12-31,2.5331
2023-03-31,1.6185
2023-06-30,2.018
2023-09-30,4.0836
2023-12-31,2.9867
2024-03-31,2.6377
2024-06-30,2.4288
2024-09-30,2.1035
2024-12-31,2.64
2025-03-31,2.15
2025-06-30,3.31
2025-09-30,3.54
2025-12-31,3.5
