QuarterEnd,ISATR_Close_QuarterEnd
2016-03-31,15833.4912
2016-06-30,17448.7539
2016-09-30,15958.2256
2016-12-31,14955.0674
2017-03-31,14457.623
2017-06-30,14759.1787
2017-09-30,18144.8105
2017-12-31,16953.1074
2018-03-31,15955.8682
2018-06-30,16771.7891
2018-09-30,14866.1318
2018-12-31,0.0
2019-03-31,49915.2734
2019-06-30,127808.7109
2019-09-30,99772.5938
2019-12-31,165453.0625
2020-03-31,379518.3438
2020-06-30,292832.8438
2020-09-30,338014.9063
2020-12-31,202852.8281
2021-03-31,249431.7344
2021-06-30,259608.8281
2021-09-30,259608.8281
2021-12-31,376290.4688
2022-03-31,500850.875
2022-06-30,501334.1563
2022-09-30,405683.3125
2022-12-31,393964.9063
2023-03-31,351903.5
2023-06-30,300708.5
2023-09-30,731341.0625
2023-12-31,973413.9375
2024-03-31,1724453.0
2024-06-30,4386999.5
2024-09-30,5499999.5
2024-12-31,5499999.5
2025-03-31,5500000.0
2025-06-30,5500000.0
2025-09-30,4950000.0
2025-12-31,4950000.0
