QuarterEnd,ISBTR_Close_QuarterEnd
2016-03-31,1009.4933
2016-06-30,1098.3608
2016-09-30,973.5471
2016-12-31,973.5471
2017-03-31,1042.4441
2017-06-30,1103.8419
2017-09-30,1287.5327
2017-12-31,1249.4762
2018-03-31,1298.5203
2018-06-30,1169.1611
2018-09-30,1228.1188
2018-12-31,3058.0059
2019-03-31,4246.9531
2019-06-30,21484.4844
2019-09-30,17927.1367
2019-12-31,30158.6621
2020-03-31,34025.5859
2020-06-30,53286.668
2020-09-30,49354.4883
2020-12-31,40470.9648
2021-03-31,41270.9844
2021-06-30,34461.4102
2021-09-30,29480.168
2021-12-31,47965.7773
2022-03-31,51952.5
2022-06-30,47289.1797
2022-09-30,43389.9727
2022-12-31,50088.6445
2023-03-31,43989.9375
2023-06-30,48093.7383
2023-09-30,346118.8438
2023-12-31,569925.75
2024-03-31,458991.75
2024-06-30,804999.6875
2024-09-30,590997.25
2024-12-31,510004.7813
2025-03-31,505255.0
2025-06-30,473000.0
2025-09-30,580000.0
2025-12-31,445060.0
